1|JEFE|ES JEFE(A) DE FAMILIA|JEFA|ES JEFE(A) DE FAMILIA
2|ESPOSO|ES ESPOSO(A) DEL JEFE(A) DE FAMILIA|ESPOSA|ES ESPOSO(A) DEL FEJE(A) DE FAMILIA
3|HIJO|ES HIJO(A) DEL JEFE(A) DE FAMILIA|HIJA|ES HIJO(A) DEL JEFE(A) DE FAMILIA
4|OTRO|OTRA RELACION CON EL JEFE(A) DE FAMILIA|OTRA|OTRA RELACION CON EL JEFE(A) DE FAMILIA
