EDOCIVIL_ID|EDOCIVIL_RAIZ|EDOCIVIL_ALIAS
1|SOLTERO|SOLTERA
2|CASADO|CASADA
3|VIUDO|VIUDA
4|DIVORCIADO|DIVORCIADA
5|UNION LIBRE|UNION LIBRE
6|SEPARADO|SEPARADA
7|SE IGNORA|SE IGNORA
